psa,offense_group,offense_text,shift,method,district,ward,year,month,day_of_week,latitude,longitude
306.0,property,THEFT F/AUTO,midnight,others,3.0,1.0,2023,5.0,Monday,38.9152829854,-77.0184836533
704.0,property,MOTOR VEHICLE THEFT,evening,others,7.0,8.0,2023,5.0,Friday,38.848374813,-76.9681475978
506.0,property,THEFT/OTHER,midnight,others,5.0,5.0,2023,10.0,Tuesday,38.9062031301,-76.9794323764
701.0,property,THEFT/OTHER,evening,others,7.0,8.0,2023,3.0,Tuesday,38.8661432732,-76.9892032076
203.0,property,MOTOR VEHICLE THEFT,day,others,2.0,3.0,2023,3.0,Tuesday,38.9483533506,-77.0659513888
107.0,property,THEFT F/AUTO,evening,others,1.0,6.0,2023,3.0,Wednesday,38.8828353711,-76.9849939036
505.0,property,THEFT/OTHER,day,others,5.0,5.0,2023,5.0,Wednesday,38.9215811022,-76.9937613603
401.0,property,MOTOR VEHICLE THEFT,evening,others,4.0,4.0,2023,5.0,Friday,38.9869940981,-77.0348807377
303.0,property,THEFT/OTHER,evening,others,3.0,1.0,2023,5.0,Sunday,38.9185368227,-77.0449370465
108.0,violent,ROBBERY,midnight,gun,1.0,6.0,2023,9.0,Saturday,38.8941788211,-76.9926458437
501.0,property,MOTOR VEHICLE THEFT,evening,others,5.0,6.0,2023,8.0,Tuesday,38.9013258056,-76.9973063877
408.0,property,MOTOR VEHICLE THEFT,day,others,4.0,1.0,2023,8.0,Tuesday,38.9345680797,-77.029111843
505.0,property,THEFT/OTHER,day,others,5.0,5.0,2023,8.0,Thursday,38.9222166046,-76.9931402028
208.0,property,THEFT/OTHER,midnight,others,2.0,2.0,2023,8.0,Saturday,38.9096418424,-77.045322301
703.0,property,THEFT/OTHER,midnight,others,7.0,8.0,2023,8.0,Tuesday,38.8524499224,-76.9958687737
507.0,property,MOTOR VEHICLE THEFT,day,others,5.0,5.0,2023,8.0,Tuesday,38.9044340732,-76.972832355
507.0,property,THEFT F/AUTO,evening,others,5.0,7.0,2023,7.0,Saturday,38.8933005709,-76.9785604969
507.0,property,MOTOR VEHICLE THEFT,day,others,5.0,7.0,2023,7.0,Sunday,38.8947777399,-76.9794333649
507.0,property,MOTOR VEHICLE THEFT,day,others,5.0,7.0,2023,9.0,Friday,38.8961123747,-76.978681844
608.0,violent,ROBBERY,midnight,gun,6.0,7.0,2023,8.0,Thursday,38.8911251955,-76.9385860009
604.0,violent,ROBBERY,day,gun,6.0,7.0,2023,5.0,Tuesday,38.8879406983,-76.9157085635
404.0,property,MOTOR VEHICLE THEFT,day,others,4.0,4.0,2023,8.0,Tuesday,38.9418697511,-77.0312155722
605.0,property,THEFT F/AUTO,evening,others,6.0,7.0,2023,5.0,Tuesday,38.8674474565,-76.9480776542
207.0,property,THEFT F/AUTO,day,others,2.0,2.0,2023,5.0,Saturday,38.9007653421,-77.0394499004
308.0,property,THEFT F/AUTO,evening,others,3.0,2.0,2023,5.0,Friday,38.9041572724,-77.0209133608
502.0,property,MOTOR VEHICLE THEFT,midnight,others,5.0,5.0,2023,4.0,Sunday,38.9202210045,-77.0013030552
507.0,property,THEFT F/AUTO,evening,others,5.0,5.0,2023,4.0,Wednesday,38.9032551969,-76.973034326
302.0,property,THEFT F/AUTO,day,others,3.0,1.0,2023,2.0,Saturday,38.928738039,-77.0336412921
504.0,property,THEFT F/AUTO,day,others,5.0,5.0,2023,7.0,Tuesday,38.9243460555,-76.9913883829
106.0,property,THEFT/OTHER,evening,others,1.0,8.0,2023,10.0,Monday,38.8792850935,-77.0032337566
605.0,violent,ROBBERY,evening,gun,6.0,7.0,2023,6.0,Wednesday,38.8662684058,-76.9504982887
208.0,violent,SEX ABUSE,evening,others,2.0,2.0,2023,6.0,Sunday,38.9072352649,-77.0332622108
308.0,violent,ROBBERY,midnight,gun,3.0,5.0,2023,7.0,Sunday,38.9129686719,-77.012164455
105.0,violent,ROBBERY,midnight,gun,1.0,6.0,2023,7.0,Sunday,38.8792854194,-77.0193963163
704.0,violent,ASSAULT W/DANGEROUS WEAPON,midnight,gun,7.0,8.0,2023,7.0,Tuesday,38.8438842047,-76.9789192984
207.0,violent,ROBBERY,midnight,gun,2.0,2.0,2023,9.0,Thursday,38.9037374432,-77.0325135136
607.0,violent,ROBBERY,midnight,gun,6.0,8.0,2023,5.0,Wednesday,38.8635284338,-76.9739826422
501.0,violent,ROBBERY,midnight,gun,5.0,5.0,2023,4.0,Saturday,38.9071769302,-76.99839742
107.0,property,THEFT/OTHER,day,others,1.0,7.0,2023,1.0,Friday,38.8828348702,-76.9815017016
608.0,property,THEFT/OTHER,evening,others,6.0,7.0,2023,3.0,Thursday,38.8929233578,-76.9171435581
206.0,property,THEFT/OTHER,day,others,2.0,2.0,2023,1.0,Thursday,38.9104384175,-77.0640600186
304.0,property,THEFT/OTHER,evening,others,3.0,1.0,2023,3.0,Sunday,38.9247480894,-77.0309870051
502.0,property,THEFT F/AUTO,midnight,others,5.0,5.0,2023,6.0,Friday,38.9323640917,-76.996990814
603.0,property,THEFT/OTHER,midnight,others,6.0,7.0,2023,5.0,Tuesday,38.8932764129,-76.952542901
103.0,property,THEFT F/AUTO,day,others,1.0,6.0,2023,6.0,Thursday,38.878942582,-77.0223004705
203.0,property,THEFT F/AUTO,day,others,2.0,3.0,2023,6.0,Tuesday,38.9526930723,-77.0698548147
104.0,property,THEFT F/AUTO,evening,others,1.0,6.0,2023,6.0,Tuesday,38.8970872286,-76.9908930995
404.0,property,THEFT/OTHER,midnight,others,4.0,4.0,2023,7.0,Wednesday,38.9373434803,-77.0327301113
306.0,property,THEFT F/AUTO,day,others,3.0,5.0,2023,10.0,Wednesday,38.9191747995,-77.012844822
503.0,property,MOTOR VEHICLE THEFT,midnight,others,5.0,5.0,2023,3.0,Friday,38.9311360043,-76.9731391143
